"filename", "language", "Python", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\TODO_list\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\TODO_list\asgi.py", "Python", 4, 0, 0, 0, 8, 5, 17
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\TODO_list\settings.py", "Python", 80, 0, 0, 0, 39, 31, 150
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\TODO_list\urls.py", "Python", 6, 0, 0, 0, 16, 2, 24
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\TODO_list\wsgi.py", "Python", 4, 0, 0, 0, 8, 5, 17
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\admin.py", "Python", 3, 0, 0, 0, 1, 1, 5
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\forms.py", "Python", 9, 0, 0, 0, 0, 2, 11
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\0001_initial.py", "Python", 17, 0, 0, 0, 1, 7, 25
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\0002_todo_user_id.py", "Python", 16, 0, 0, 0, 1, 6, 23
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\0003_rename_user_id_todo_user.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\0004_rename_user_todo_user_id.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\0005_rename_user_id_todo_user.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\0006_alter_todo_create_date.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\0007_alter_todo_todo_date.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\models.py", "Python", 13, 0, 0, 0, 2, 3, 18
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\templates\index.html", "HTML", 0, 0, 0, 41, 0, 0, 41
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\templates\login.html", "HTML", 0, 0, 0, 25, 4, 0, 29
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\urls.py", "Python", 10, 0, 0, 0, 0, 1, 11
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\aplication\views.py", "Python", 88, 0, 0, 0, 3, 10, 101
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\manage.py", "Python", 15, 0, 0, 0, 3, 5, 23
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\static\login\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\static\todo\script.js", "JavaScript", 0, 0, 97, 0, 6, 6, 109
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\static\todo\style.css", "CSS", 0, 5, 0, 0, 0, 1, 6
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\admin.py", "Python", 3, 0, 0, 0, 1, 1, 5
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\migrations\0001_initial.py", "Python", 26, 0, 0, 0, 1, 7, 34
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\migrations\0002_alter_user_id.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\models.py", "Python", 31, 0, 0, 0, 4, 11, 46
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\Misah\Desktop\python\3-TODO-list\TODO_list\users\views.py", "Python", 1, 0, 0, 0, 1, 2, 4
"Total", "-", 408, 5, 97, 66, 107, 158, 841